fecha,buque,imo,puerto,pax,trip,exentos,sentido,servicio,anio
2019-01-01 00:00:00,,9610028,BUQUEBUS,415,44,5,Salida,Pasajeros,2019
2019-01-01 00:00:00,,9001540,BUQUEBUS,458,27,4,Salida,Pasajeros,2019
2019-01-01 00:00:00,,8919506,COLONIA EXPRESS BAIRES,286,14,3,Salida,Pasajeros,2019
2019-01-01 00:00:00,,9001540,ROU - COLONIA,230,28,1,Entrada,Pasajeros,2019
2019-01-01 00:00:00,,8919506,ROU - COLONIA,246,13,2,Entrada,Pasajeros,2019
2019-01-01 00:00:00,,9610028,ROU - MONTEVIDEO,593,85,13,Entrada,Pasajeros,2019
2019-01-01 00:00:00,,9119385,BUQUEBUS,939,41,10,Salida,Pasajeros,2019
2019-01-01 00:00:00,,8919506,COLONIA EXPRESS BAIRES,236,13,3,Salida,Pasajeros,2019
2019-01-01 00:00:00,,9610028,BUQUEBUS,569,42,8,Salida,Pasajeros,2019
2019-01-01 00:00:00,,9610028,BUQUEBUS,0,22,0,Salida,Pasajeros,2019
2019-01-01 00:00:00,,8919506,ROU - COLONIA,581,13,11,Entrada,Pasajeros,2019
2019-01-01 00:00:00,,9119385,ROU - COLONIA,1055,44,31,Entrada,Pasajeros,2019
2019-01-01 00:00:00,,9001540,BUQUEBUS,244,28,0,Salida,Pasajeros,2019
2019-01-01 00:00:00,,8919506,COLONIA EXPRESS BAIRES,188,14,2,Salida,Pasajeros,2019
2019-01-01 00:00:00,,9001540,BUQUEBUS,0,28,0,Salida,Pasajeros,2019
2019-01-01 00:00:00,,9119385,BUQUEBUS,265,44,6,Salida,Pasajeros,2019
2019-01-01 00:00:00,,9610028,ROU - COLONIA,349,23,5,Entrada,Pasajeros,2019
2019-01-01 00:00:00,,9610028,ROU - MONTEVIDEO,908,91,9,Entrada,Pasajeros,2019
2019-01-01 00:00:00,,9001540,ROU - COLONIA,587,28,4,Entrada,Pasajeros,2019
2019-01-01 00:00:00,,8919506,ROU - COLONIA,598,13,7,Entrada,Pasajeros,2019
2019-01-01 00:00:00,,9119385,ROU - COLONIA,1015,45,7,Entrada,Pasajeros,2019
2019-01-01 00:00:00,,18368,PUERTO BUENOS AIRES,0,21,0,Entrada,Carga,2019
2019-01-01 00:00:00,,9001540,ROU - COLONIA,586,28,2,Entrada,Pasajeros,2019
2019-01-02 00:00:00,,8919506,COLONIA EXPRESS BAIRES,521,16,5,Salida,Pasajeros,2019
2019-01-02 00:00:00,,9545974,PUERTO BUENOS AIRES,0,11,0,Entrada,Carga,2019
2019-01-02 00:00:00,,9722699,PUERTO BUENOS AIRES,1,25,0,Entrada,Carga,2019
2019-01-02 00:00:00,,9610028,BUQUEBUS,625,46,15,Salida,Pasajeros,2019
2019-01-02 00:00:00,,9610028,BUQUEBUS,0,23,0,Salida,Pasajeros,2019
2019-01-02 00:00:00,,8919506,ROU - COLONIA,583,15,13,Entrada,Pasajeros,2019
2019-01-02 00:00:00,,8919506,COLONIA EXPRESS BAIRES,242,15,3,Salida,Pasajeros,2019
2019-01-02 00:00:00,,9119385,ROU - COLONIA,1055,41,13,Entrada,Pasajeros,2019
2019-01-02 00:00:00,,9119385,BUQUEBUS,546,41,3,Salida,Pasajeros,2019
2019-01-02 00:00:00,,9354739,PUERTO BUENOS AIRES,0,23,0,Entrada,Carga,2019
2019-01-02 00:00:00,,9610028,ROU - COLONIA,403,24,9,Entrada,Pasajeros,2019
2019-01-02 00:00:00,,9610028,BUQUEBUS,694,45,14,Salida,Pasajeros,2019
2019-01-02 00:00:00,,8919506,COLONIA EXPRESS BAIRES,607,17,8,Salida,Pasajeros,2019
2019-01-02 00:00:00,,9119385,BUQUEBUS,1034,41,7,Salida,Pasajeros,2019
2019-01-02 00:00:00,,9001540,ROU - COLONIA,559,27,5,Entrada,Pasajeros,2019
2019-01-02 00:00:00,,9387073,TERMINAL CRUCEROS PTO. BS. AS.,2903,943,33,Entrada,Pasajeros,2019
2019-01-02 00:00:00,,9001540,BUQUEBUS,561,28,7,Salida,Pasajeros,2019
2019-01-02 00:00:00,,8919506,ROU - COLONIA,589,16,4,Entrada,Pasajeros,2019
2019-01-02 00:00:00,,9127071,PUERTO BUENOS AIRES,1,21,0,Entrada,Carga,2019
2019-01-02 00:00:00,,9119385,ROU - COLONIA,959,42,18,Entrada,Pasajeros,2019
2019-01-02 00:00:00,,9119385,ROU - COLONIA,1020,41,7,Entrada,Pasajeros,2019
